kol1,kol2,kol3,kol4,kol5,kol6
177,-1.0428916080032424,-0.39702401499707274,-0.3975289014600632,-0.39959706600846118,1
178,-1.0554539311823903,-0.29723040066221285,-0.29695364808249952,-0.30875303171757301,1
179,-1.073940255527293,-0.41149555698626977,-0.41724378286490937,-0.4156692850803243,1
180,-1.0644988786693714,-0.50124941050707117,-0.50326147655958131,-0.50466767885650288,1
181,-1.0446306613757652,-0.40957137857731724,-0.40461227154083312,-0.39760369945458029,1
182,-1.0505172635442614,-0.31523053804275442,-0.3116551939048367,-0.31978573590884612,1
183,-1.0709146766490762,-0.39636392269545928,-0.39521951337934752,-0.3924295481838595,1
184,-1.0628570626897209,-0.50089412003311484,-0.49688868742672382,-0.50501174963128159,1
185,-1.046807283016213,-0.38333224210071648,-0.39115237242747991,-0.38923006396839027,1
186,-1.0606112529043448,-0.29486304413574643,-0.30079452510095295,-0.28203144817633691,1
187,-1.0679788553642797,-0.40315184069788662,-0.39982706984160127,-0.39414990205775291,1
188,-1.0633918683505181,-0.48409823036429872,-0.47435579157844565,-0.47744868865172801,1
189,-1.0504798645470028,-0.39379648153365959,-0.38955917514426552,-0.38739751310272119,1
190,-1.045174816785877,-0.27783154078420141,-0.27798487667296146,-0.27970149064712907,1
191,-1.0537092679602789,-0.35574861167267069,-0.35703887707809079,-0.36422322445145883,1
192,-1.0623297368283753,-0.44809047580376388,-0.45648655068830907,-0.4465907760136959,1
193,-1.045359941822307,-0.34581730795066196,-0.34051787003912498,-0.33852824338497001,1
194,-1.0464370329433532,-0.24174150842969777,-0.24555994604979603,-0.24626678709798266,1
195,-1.0567105374902777,-0.34035892430077613,-0.33952866656163627,-0.33672000186751894,1
196,-1.0617706218193599,-0.4175280152440744,-0.41991407126917007,-0.41246793091499218,1
197,-1.0479199031846549,-0.32621649348745435,-0.32550217263981596,-0.32617161469074407,1
198,-1.0555081597284153,-0.22052879718464649,-0.21559212954651752,-0.20771964062359211,1
199,-1.0693944074105159,-0.33195910951650515,-0.32958427319058703,-0.32706358077536057,1
200,-1.056314108119337,-0.40438600760741888,-0.40205231017848514,-0.41782346732241699,1
0,-1.033336164203682,-0.29711259382084837,-0.30032329773549515,-0.2994275917511528,1
1,-1.0675151077982736,-0.21915251408553174,-0.22293542265823438,-0.22334868157794141,1
2,-1.0720703056643655,-0.3169957707133581,-0.3139197031888421,-0.31767643246346378,1
3,-1.065179540419477,-0.40156986311384985,-0.40867380264311198,-0.41474552984803803,1
4,-1.0420089916679405,-0.31305952625189537,-0.30689430155382291,-0.31734919123745142,1
5,-1.0501470134714017,-0.20786923661262632,-0.20205930238851011,-0.21250671227268689,1
6,-1.0710493130392069,-0.33297636224193777,-0.32865490810871201,-0.33106153358229989,1
7,-1.0700077509655563,-0.41263248650292983,-0.41709231692601223,-0.41450617626558334,1
8,-1.0499787179837381,-0.32694951383372195,-0.33139812455762685,-0.33766432654829742,1
9,-1.0498122924459377,-0.23336039314405604,-0.22635743090739199,-0.24294949604114902,1
10,-1.0594911529364512,-0.34430825841127932,-0.34450086324716089,-0.33857873203126904,1
11,-1.0401951403009007,-0.43097669465825006,-0.43618076512677773,-0.42733403232526701,1
12,-1.0335811276357256,-0.34107511509827743,-0.33864231032660858,-0.33492671994897133,1
13,-1.0467680140690914,-0.26908391532542586,-0.26203233439232571,-0.26344040663911023,1
14,-1.0625541308119266,-0.37065585197992995,-0.37600577853776596,-0.36836703334770649,1
15,-1.0503227887585169,-0.46552214842597545,-0.46128297208671848,-0.47538800390278174,1
16,-1.0431777103322704,-0.36964046920436022,-0.37310174640063931,-0.38012714803565845,1
17,-1.0475646127106986,-0.27576711613552929,-0.2746544959670873,-0.28708405270596743,1
18,-1.0557886522078543,-0.40379136355100786,-0.4055509863720228,-0.40615124027802257,1
19,-1.0460406035724126,-0.48017881545160235,-0.47375553767244588,-0.46569792371309066,1
20,-1.0376987572338923,-0.38846338452458995,-0.3942172202528183,-0.3902547964932746,1
21,-1.0498235121451152,-0.29652729951375206,-0.30219137764855991,-0.28680356022652825,1
22,-1.0574192484883274,-0.39940446117257961,-0.39873688907151444,-0.39590391502917904,1
23,-1.0400343246126889,-0.48073980041048064,-0.48872261637531877,-0.48990255473882616,1
24,-1.0393256136146394,-0.39806744702058633,-0.40057504978677233,-0.38719929841725087,1
25,-1.0534100759822105,-0.29073793473812803,-0.29540345964613252,-0.293426922641018,1
26,-1.0768629871630491,-0.40342859327759989,-0.4011678238933204,-0.4008518023664856,1
27,-1.0461789798622692,-0.4619617638869612,-0.46011612337225161,-0.4649574235673713,1
28,-1.0407243361121092,-0.38193725950297241,-0.38250385431143952,-0.38439437362285939,1
29,-1.0434320235136285,-0.27884505360990819,-0.27867114827265593,-0.2770012830450615,1
30,-1.0579241349513178,-0.38372306162206832,-0.38338086079715261,-0.38168481627147721,1
31,-1.0480713691235519,-0.44569320007949065,-0.45510465773960551,-0.46979311391290218,1
32,-1.0291717858589422,-0.34037949374926835,-0.33999989392709407,-0.34239903960123019,1
33,-1.0482265749621751,-0.25985758270174081,-0.25837471246043919,-0.26620045263679143,1
34,-1.0579839733469314,-0.34891207497380722,-0.3474217249330539,-0.35137666889314584,1
35,-1.0508052358231523,-0.43430146551453541,-0.434363173860012,-0.41993651066752519,1
36,-1.0430206345437845,-0.33032290338644343,-0.3366564235721794,-0.32482525078943614,1
37,-1.0629169010853345,-0.22235760815058975,-0.22335429142753019,-0.21905153679293365,1
38,-1.0636087825346179,-0.34260660403601517,-0.33587291457961271,-0.33603560021768741,1
39,-1.0529818574636001,-0.41688101259150145,-0.41107855816683692,-0.41569920427813117,1
40,-1.0350172491304541,-0.3150416731065987,-0.31874604378505839,-0.31129429358129168,1
41,-1.0550144929646024,-0.21460853591861756,-0.21383998652495431,-0.22279517641851482,1
42,-1.0689643189420426,-0.31794570524372534,-0.31312684444696076,-0.31368221955625031,1
43,-1.0659518297128663,-0.43547953392817984,-0.4246431744725141,-0.41713158587313376,1
44,-1.0433011270232235,-0.31498931451043671,-0.32210821363860231,-0.31904336581326387,1
45,-1.0606056430547561,-0.22171434539774262,-0.22419576886584763,-0.23088831942526569,1
46,-1.0516803723590025,-0.31938556663817963,-0.31736789073608068,-0.32535818650037052,1
47,-1.0479386026832842,-0.40018236031555754,-0.40194946293602413,-0.40255719664147566,1
48,-1.030650916200518,-0.31575973385396294,-0.3158513613972464,-0.31104372029965938,1
49,-1.0450570099445127,-0.22629572256191538,-0.22088969750819154,-0.20956715108816462,1
50,-1.0568900526771188,-0.33405345336298409,-0.3331727069775452,-0.33378044068299667,1
51,-1.0624625032686432,-0.43237915705544577,-0.4401824578334429,-0.46395887034056793,1
52,-1.0382821815911258,-0.33352425755177562,-0.33442744333556962,-0.33711456128859668,1
53,-1.049752454050324,-0.27297341104031536,-0.26637061807431783,-0.27065841311001093,1
54,-1.0621315221429051,-0.38009535888798868,-0.37184701004261483,-0.38857745146622852,1
55,-1.0560710146371566,-0.48514166238781237,-0.47604435630466935,-0.46978189421372463,1
56,-1.0436077988007437,-0.3862755431849646,-0.38877940605142469,-0.38896453108785456,1
57,-1.0468315923644309,-0.28488499166716452,-0.28544410667617987,-0.28608923937888991,1
58,-1.0517383408047531,-0.4063494549634929,-0.39930161393011859,-0.39809175636880439,1
59,-1.0350677377767532,-0.4889264409103779,-0.47959726104423189,-0.48379903838623028,1
60,-1.0221407743743343,-0.37435648275866373,-0.3819802683498198,-0.3817465246169538,1
61,-1.0286332402984191,-0.27561004034704334,-0.27842431489074948,-0.27819805095733524,1
62,-1.0371265525758364,-0.38448600116614284,-0.38359029518180049,-0.38361834442974441,1
